system change
MiB Mem :   1827.1 total,   1580.4 free,    189.4 used,     57.3 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.   1535.6 avail Mem 
MiB Mem :   1827.1 total,   1427.3 free,    342.4 used,     57.3 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.   1382.5 avail Mem 
MiB Mem :   1827.1 total,   1277.4 free,    491.6 used,     58.1 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.   1233.0 avail Mem 
MiB Mem :   1827.1 total,   1133.0 free,    636.0 used,     58.1 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.   1088.6 avail Mem 
MiB Mem :   1827.1 total,    989.1 free,    779.8 used,     58.1 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.    944.7 avail Mem 
MiB Mem :   1827.1 total,    848.3 free,    920.6 used,     58.1 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.    803.9 avail Mem 
MiB Mem :   1827.1 total,    712.9 free,   1056.0 used,     58.1 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.    668.5 avail Mem 
MiB Mem :   1827.1 total,    581.2 free,   1187.7 used,     58.1 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.    536.8 avail Mem 
MiB Mem :   1827.1 total,    449.6 free,   1319.3 used,     58.1 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.    405.2 avail Mem 
MiB Mem :   1827.1 total,    321.9 free,   1447.0 used,     58.1 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.    277.5 avail Mem 
MiB Mem :   1827.1 total,    199.5 free,   1569.4 used,     58.1 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.    155.1 avail Mem 
MiB Mem :   1827.1 total,     77.0 free,   1691.9 used,     58.1 buff/cache
MiB Swap:    820.0 total,    747.7 free,     72.2 used.     32.6 avail Mem 
MiB Mem :   1827.1 total,   1661.9 free,    116.6 used,     48.6 buff/cache
MiB Swap:    820.0 total,    745.5 free,     74.5 used.   1612.8 avail Mem 
MiB Mem :   1827.1 total,   1661.8 free,    116.6 used,     48.6 buff/cache
MiB Swap:    820.0 total,    745.5 free,     74.5 used.   1612.7 avail Mem 
MiB Mem :   1827.1 total,   1661.8 free,    116.6 used,     48.6 buff/cache
MiB Swap:    820.0 total,    745.5 free,     74.5 used.   1612.7 avail Mem 
MiB Mem :   1827.1 total,   1662.7 free,    115.8 used,     48.6 buff/cache
MiB Swap:    820.0 total,    745.7 free,     74.2 used.   1613.6 avail Mem 
MiB Mem :   1827.1 total,   1662.7 free,    115.8 used,     48.6 buff/cache
MiB Swap:    820.0 total,    745.7 free,     74.2 used.   1613.6 avail Mem 
MiB Mem :   1827.1 total,   1662.7 free,    115.8 used,     48.6 buff/cache
MiB Swap:    820.0 total,    745.7 free,     74.2 used.   1613.6 avail Mem 
MiB Mem :   1827.1 total,   1662.7 free,    115.7 used,     48.6 buff/cache
MiB Swap:    820.0 total,    745.7 free,     74.2 used.   1613.6 avail Mem 
MiB Mem :   1827.1 total,   1662.7 free,    115.7 used,     48.6 buff/cache
MiB Swap:    820.0 total,    745.7 free,     74.2 used.   1613.6 avail Mem 
MiB Mem :   1827.1 total,   1662.7 free,    115.8 used,     48.6 buff/cache
MiB Swap:    820.0 total,    745.7 free,     74.2 used.   1613.6 avail Mem 
